name,gdp,pob_2020
"Bloomsburg-Berwick, PA",4207736904.0,66012
"Bluefield, WV-VA",4020551652.6,96399
"Blytheville, AR",1568915364.2857144,38095
"Bogalusa, LA",2006392275.0,45090
"Boise City, ID",37078679944.2,845877
"Bonham, TX",2242389258.3333335,38650
"Boone, NC",2142692286.1666665,54997
"Borger, TX",605007411.6666666,19721
"Boston-Cambridge-Newton, MA-NH",410413243132.375,5025517
"Boulder, CO",19583309912.57143,330262
"Bowling Green, KY",8498156835.214286,195159
"Bozeman, MT",7168105706.666667,126984
"Bradford, PA",1243817554.8,39478
"Brainerd, MN",3009676006.0,100084
"Branson, MO",1799789979.4285715,56744
"Breckenridge, CO",1926211982.1666665,38251
"Bremerton-Silverdale-Port Orchard, WA",39472391330.0,281420
"Brenham, TX",4241469085.0,37810
"Brevard, NC",1504034865.2857141,34103
"Bridgeport-Stamford-Danbury, CT",99239520333.0,972679
"Brookhaven, MS",1674091778.4,34956
"Brookings, OR",2577615977.6,22774
"Brookings, SD",1848261286.3333333,36359
"Brownsville-Harlingen, TX",14378597019.0,431874
"Brownwood, TX",1994814701.0,38631
"Brunswick-St. Simons, GA",5778456966.0,117135
"Bucyrus, OH",1959009749.6666665,41626
"Buffalo-Cheektowaga, NY",57296254392.0,1160172
"Burley, ID",3053542781.2,48667
"Burlington, IA-IL",2101132340.0,44459
"Burlington, NC",8682746453.333334,183040
"Burlington-South Burlington, VT",12514695116.666668,229445
"Butte-Silver Bow, MT",1838288342.8,36134
"Cadillac, MI",2078009065.888889,49699
"Calhoun, GA",3284401419.375,60765
"Cambridge, MD",3423102379.2,33138
"Cambridge, OH",1625787121.2857141,38219
"Camden, AR",933594387.4285715,26374
"Campbellsville, KY",1549464725.0,38361
"Cañon City, CO",2632324533.75,50093
"Canton, IL",1565584070.0,32510
"Canton-Massillon, OH",21786769992.0,400551
"Cape Coral-Fort Myers, FL",79425534051.59999,860959
"Cape Girardeau, MO-IL",3995363930.727273,98862
"Carbondale, IL",2136232444.5,53199
"Carlsbad-Artesia, NM",4198802462.6666665,61436
"Carroll, IA",669160835.25,20407
"Carson City, NV",3497334719.2000003,58148
"Casper, WY",4696279041.666666,80410
"Cedar City, UT",5415301701.333334,65936
"Cedar Rapids, IA",13642330634.916666,278677
"Cedartown, GA",2316176691.428571,44610
"Celina, OH",2035390016.0,42648
"Centralia, IL",1556801189.1666667,36437
"Centralia, WA",9036618867.857143,87049
"Chambersburg, PA",10497483243.333334,159285
"Champaign-Urbana, IL",19620993931.0,242453
"Charleston, WV",8598798829.142857,202091
"Charleston-Mattoon, IL",1949281874.4285715,46423
"Charleston-North Charleston, SC",40474175985.0,869940
"Charlotte-Concord-Gastonia, NC-SC",152979963385.2,2883370
"Charlottesville, VA",12742713250.666668,227336
"Chattanooga, TN-GA",27697526400.0,588050
"Cheyenne, WY",7317200226.599999,101783
"Chicago-Naperville-Elgin, IL-IN",830961316068.0,9408576
"Chico, CA",12590218860.0,208334
"Chillicothe, OH",2885651021.75,76046
"Cincinnati, OH-KY-IN",113168128957.25807,2302815
"Clarksburg, WV",4139012932.5000005,88525
"Clarksdale, MS",745887458.0,20105
"Clarksville, TN-KY",14744700944.285715,345955
"Clearlake, CA",9060472745.142857,67764
"Cleveland, MS",1063487400.0000001,28395
"Cleveland, TN",6294830976.0,132120
"Clewiston, FL",5386086132.0,59262
"Clinton, IA",3039206389.166667,46015
"Clovis, NM",3975589364.0,65869
"Coeur d'Alene, ID",5865194286.333333,188323
"Coldwater, MI",2111862085.8333333,46187
"College Station-Bryan, TX",33942682514.22222,287462
"Colorado Springs, CO",34550019408.666664,777634
"Columbia, MO",10385158297.5,219426
"Columbia, SC",37048100577.947365,870193
"Columbus, GA-AL",12997433077.11111,324343
"Columbus, IN",4016568041.5,84741
"Columbus, MS",2949506482.5,67035
"Columbus, NE",2176827191.666667,46325
"Columbus, OH",95287904214.46155,2225377
"Concord, NH",11401141311.0,157869
"Connersville, IN",1093146743.0,23335
"Cookeville, TN",5729645774.272727,149929
"Coos Bay-North Bend, OR",6198045962.0,64326
"Cordele, GA",743627539.4285715,19468
"Corinth, MS",1350953489.0,34228
"Cornelia, GA",2304654660.0,49665
"Corning, NY",4260212708.888889,92015
"Corpus Christi, TX",20579948559.555553,450187
"Corsicana, TX",2526866807.6,56533
"Cortland, NY",2603473425.0,45945
"Corvallis, OR",6096173919.6,98899
"Coshocton, OH",1553669629.6666665,37003
"Crawfordsville, IN",1831055187.0,38633
"Crescent City, CA",3675330702.0,27009
"Crestview-Fort Walton Beach-Destin, FL",13281466320.0,310149
"Crossville, TN",2561442375.333333,65618
"Cullman, AL",3511887637.7142854,92604
"Cumberland, MD-WV",10740948027.777779,93875
"Dallas-Fort Worth-Arlington, TX",434714531163.4286,8344032
"Dalton, GA",7704776162.571429,146386
"Danville, IL",4578657552.0,71106
"Danville, KY",1736352800.0,56304
"Danville, VA",4250668898.5714283,101403
"Daphne-Fairhope-Foley, AL",9669249686.666668,261608
"Davenport-Moline-Rock Island, IA-IL",21481542378.0,381801
"Decatur, AL",6745845458.7,159651
"Decatur, IL",4688818056.0,100737
"Decatur, IN",1695015985.3333333,36584
"Defiance, OH",1966670448.0,38644
"Del Rio, TX",2357242889.75,47999
"Deltona-Daytona Beach-Ormond Beach, FL",35539659928.0,739516
"Deming, NM",1475261650.0,25878
"Denver-Aurora-Centennial, CO",174276268314.0,3052498
"DeRidder, LA",1883511539.1666667,36695
"Des Moines-West Des Moines, IA",45123269413.545456,753913
"Detroit-Warren-Dearborn, MI",215074435915.73334,4400578
"Dickinson, ND",1589505575.6666667,38861
"Dixon, IL",4316810904.0,33544
"Dodge City, KS",1389285800.0,34072
"Dothan, AL",6151793734.0,154766
"Douglas, GA",1980096963.0,52286
"Dover, DE",17079986545.714287,192690
"Dublin, GA",2162973963.5,59465
"DuBois, PA",3576179772.0,78132
"Dubuque, IA",4757810343.0,99242
"Duluth, MN-WI",12512726907.5,281815
"Dumas, TX",942411362.2857143,21872
"Duncan, OK",1710638900.0,44075
"Durango, CO",3034609585.7999997,56823
"Durant, OK",2726145328.3333335,50305
"Durham-Chapel Hill, NC",32735356054.545456,620522
"Dyersburg, TN",1263402518.0,36403
"Eagle Pass, TX",2990325133.2000003,58829
"Easton, MD",4686088312.0,38244
"East Stroudsburg, PA",19841437480.666664,166523
"Eau Claire, WI",6953879883.636364,176153
"Edwards, CO",3415944420.0,54330
"Effingham, IL",1810100129.25,44907
"El Campo, TX",4203920350.0,42035
"El Centro, CA",18504727765.0,181724
"El Dorado, AR",1196547282.0,37008
"Elizabeth City, NC",1746239829.75,41418
"Elizabethtown, KY",5907738543.200001,127954
"Elk City, OK",743122134.0,22248
"Elkhart-Goshen, IN",9626150554.4,207436
"Elkins, WV",1501554155.0,27190
"Elko, NV",2937256705.4545455,56240
"Ellensburg, WA",3651028138.0,48172
"Elmira, NY",4131094247.142857,81115
"El Paso, TX",36382352389.33333,879392
"Emporia, KS",1270686154.6666667,35027
"Enid, OK",2482780949.0,62007
"Enterprise, AL",2213471721.6,56358
"Erie, PA",11781089250.0,267750
"Escanaba, MI",1308392939.0,36687
"Española, NM",1744360384.375,39955
"Eufaula, AL-GA",1062010524.0,26681
"Eugene-Springfield, OR",20447478912.0,382396
"Eureka-Arcata, CA",25752278540.0,132380
"Evanston, WY-UT",1764947819.25,23373
"Evansville, IN",14707931844.923077,271793
"Fairbanks-College, AK",5505211504.5,94951
"Fairmont, MN",840350340.5,19561
"Fairmont, WV",2982663972.2000003,55649
"Fallon, NV",1059981322.1666667,26033
"Fargo, ND-MN",12863001591.375,267793
"Faribault-Northfield, MN",2747845807.142857,69025
"Farmington, MO",2909658955.285714,67503
"Farmington, NM",8690593341.875,120817
"Fayetteville, NC",20119412041.5,393812
"Fayetteville-Springdale-Rogers, AR",24304494594.23077,605615
"Fergus Falls, MN",1966279222.0,60884
"Findlay, OH",3838043608.0,75016
"Fitzgerald, GA",580578062.5,16945
"Flagstaff, AZ",14249177953.199999,145161
"Flint, MI",18757350275.142857,402279
"Florence, SC",8699950130.6,200474
"Florence-Muscle Shoals, AL",6405087794.285714,156287
"Fond du Lac, WI",6013148543.285714,104269
"Forest City, NC",3481841664.125,65587
"Forrest City, AR",857946478.0,21822
"Fort Collins-Loveland, CO",24171110390.399998,374574
"Fort Dodge, IA",1577402078.3999999,36909
"Fort Leonard Wood, MO",1762669303.2,53964
"Fort Madison, IA",1490506862.4,32376
"Fort Morgan, CO",1951386660.0,30300
"Fort Payne, AL",2859538180.8,73122
"Fort Smith, AR-OK",8551358323.2,232848
"Fort Wayne, IN",22141531099.384613,462978
"Frankfort, IN",1660802760.0,32895
"Frankfort, KY",3443483295.0,77325
"Fredericksburg, TX",2171570455.166667,28159
"Freeport, IL",4713947846.400001,43088
"Fremont, NE",1538848080.0,37884
"Fremont, OH",2774253666.857143,58866
"Fresno, CA",108425741436.0,1189557
"Gadsden, AL",4300665177.714286,103207
"Gaffney, SC",3000641198.333333,57770
"Gainesville, FL",14190279223.636364,359780
"Gainesville, GA",11950725030.0,221745
"Gainesville, TX",2049034755.0,44258
"Galesburg, IL",2295283569.6,48716
"Gallup, NM",5945506547.5,68945
"Garden City, KS",1425213719.6363635,38354
"Gardnerville Ranchos, NV-CA",3613581900.4285717,50663
"Gettysburg, PA",7367957846.799999,107914
"Gillette, WY",2500068826.285714,47946
"Glasgow, KY",2365950624.5,56167
"Glens Falls, NY",6562076970.0,125127
"Gloversville, NY",2893123807.0,52073
"Goldsboro, NC",6803102536.285715,120338
"Grand Forks, ND-MN",5593908102.0,104184
"Grand Island, NE",4810870556.461538,77278
"Grand Junction, CO",12240578522.857143,161260
"Grand Rapids, MN",1656489652.3333335,45442
"Grand Rapids-Wyoming-Kentwood, MI",53102238014.57143,1178826
"Grants Pass, OR",9868144522.4,88276
"Great Bend, KS",1023265861.4285713,24835
"Great Falls, MT",4213077109.3333335,84523
"Greeley, CO",24306825017.142857,369745
"Green Bay, WI",16607449977.642859,334697
"Greeneville, TN",3071916008.571429,73398
"Greenfield, MA",4998059156.666666,70871
"Greensboro-High Point, NC",34192430844.0,800722
"Greensburg, IN",1219646202.0,26421
"Greenville, MS",1541010669.0,41181
"Greenville, NC",9277399396.125,180783
"Greenville, OH",2247178288.5,51462
"Greenville-Anderson-Greer, SC",43545414317.333336,996680
"Greenwood, MS",1323635318.3333335,35535
"Greenwood, SC",3769084487.0,94648
"Grenada, MS",1046150439.75,30342
"Gulfport-Biloxi, MS",18825732531.75,426793
"Guymon, OK",760569646.125,20577
"Hagerstown-Martinsburg, MD-WV",28710184436.666664,311295
"Hailey, ID",1643691488.0,32064
"Hammond, LA",6976943983.2,139823
"Hanford-Corcoran, CA",10803973428.6,154913
"Hannibal, MO",1674826737.5,38924
"Harrisburg-Carlisle, PA",34755096991.2,615361
"Harrison, AR",1547459812.2222223,45662
"Harrisonburg, VA",9015306692.0,138838
"Hartford-West Hartford-East Hartford, CT",102007913598.0,1169048
"Hastings, NE",2927914843.75,40625
"Hattiesburg, MS",6310113417.5,156575
"Hays, KS",1263317698.5,29007
"Heber, UT",6467724927.0,80967
"Helena, MT",4919401996.25,96735
"Henderson, NC",2159381750.2,42337
"Hereford, TX",1071542172.8571429,18495
"Hermiston-Pendleton, OR",4493048283.625,92851
"Hickory-Lenoir-Morganton, NC",21215609664.416668,373031
"Hillsdale, MI",2107319595.7142859,45590
"Hilo-Kailua, HI",12782714490.0,209790
"Hilton Head Island-Bluffton-Port Royal, SC",9979487368.5,237393
"Hinesville, GA",3639907900.285714,89046
"Hobbs, NM",7532144246.8,75151
"Holland, MI",6269038159.5,122429
"Homosassa Springs, FL",8174648438.0,170174
"Hood River, OR",1365701237.3333335,23764
"Hot Springs, AR",4415451945.666667,99902
"Houghton, MI",1385385041.2,40202
"Houma-Bayou Cane-Thibodaux, LA",9670480170.75,199206
"Houston-Pasadena-The Woodlands, TX",744991067837.9,7796182
"Hudson, NY",4794692213.285714,60299
"Huntingdon, PA",2955009794.5,43359
"Huntington, IN",1816965030.3999999,36944
"Huntington-Ashland, WV-KY-OH",14045330680.0,366920
"Huntsville, AL",23009593922.875,542297
"Huntsville, TX",9630900468.571428,83722
"Huron, SD",945390496.2857143,19459
"Hutchinson, KS",2857232900.142857,61417
"Hutchinson, MN",809288730.0,36780
"Idaho Falls, ID",7805513610.833333,171233
"Indiana, PA",4221892935.0,82953
"Indianapolis-Carmel-Greenwood, IN",109666562978.23999,2174833
"Iowa City, IA",8266521670.7,182711
"Iron Mountain, MI-WI",1165546102.2857144,30668
"Ithaca, NY",5111330403.666667,105602
"Jackson, MI",7339930373.571429,160233
"Jackson, MS",22964511160.210526,606178
"Jackson, TN",6711238613.333333,183680
"Jackson, WY-ID",1828059433.2,36204
"Jacksonville, FL",85186504295.14287,1760548
"Jacksonville, IL",1646612176.0,37498
"Jacksonville, NC",11263264832.4,212954
"Jacksonville, TX",4394496705.375,53223
"Jamestown, ND",965169229.5,21546
"Jamestown-Dunkirk, NY",6094020893.75,124105
"Janesville-Beloit, WI",10695509347.333332,165461
"Jasper, IN",2190891315.6,43629
"Jefferson, GA",5458159912.5,93825
"Jefferson City, MO",6823808000.400001,151523
"Jesup, GA",1289360764.0,32132
"Johnson City, TN",7955941973.333334,214948
"Johnstown, PA",6182007272.571428,130108
"Jonesboro, AR",5079020128.0,138152
"Joplin, MO-KS",7607999304.125,207131
"Juneau, AK",2339264196.0,31572
"Kahului-Wailuku, HI",9582779266.0,163769
"Kalamazoo-Portage, MI",11988741937.5,264780
"Kalispell, MT",5047330869.7,114527
"Kankakee, IL",11787546468.0,106410
"Kansas City, MO-KS",110484981799.35484,2253579
"Kapaa, HI",4022212480.0,73840
"Kearney, NE",3641201511.666667,57905
"Keene, NH",5541390855.0,78078
"Kendallville, IN",2300497981.5,47811
"Kennett, MO",942444805.5555557,27002
"Kennewick-Richland, WA",16807534732.8,319428
"Kerrville, TX",2667699650.0,53900
"Ketchikan, AK",503514195.99999994,13677
"Key West-Key Largo, FL",7313651690.666667,80908
"Kill Devil Hills, NC",1710430394.8,38183
"Killeen-Temple, TX",33378828518.75,509487
"Kingsport-Bristol, TN-VA",11579938047.764706,313876
"Kingston, NY",16880621553.714285,182977
"Kingsville, TX",1078277384.2857141,30442
"Kinston, NC",2938642997.1428576,55332
"Kirksville, MO",1113248650.1111112,29729
"Klamath Falls, OR",3117365761.25,70438
"Knoxville, TN",38397874138.08695,957608
"Kokomo, IN",4397586695.666666,84082
"Laconia, NH",4269674150.2,65257
"La Crosse-Onalaska, WI-MN",8227754094.900001,170763
"Lafayette, LA",17749457036.666664,419704
"Lafayette-West Lafayette, IN",13239219111.75,229701
"La Grande, OR",1191006948.0,26058
"LaGrange, GA-AL",4627455679.599999,105326
"Lake Charles, LA",12925237356.25,242975
"Lake City, FL",2901229986.0,73977
"Lake Havasu City-Kingman, AZ",18985766924.142857,226479
"Lakeland-Winter Haven, FL",40940020331.6,852878
"Lancaster, PA",33270267340.375,563293
"Lansing-East Lansing, MI",20856606503.88889,479971
"Laramie, WY",2625433696.0,39288
"Laredo, TX",11683099329.0,272823
"Las Cruces, NM",8638428165.199999,229366
"Las Vegas, NM",1383443612.5714285,30524
"Las Vegas-Henderson-North Las Vegas, NV",175995090011.80002,2398871
"Laurel, MS",3176681259.0,81636
"Laurinburg, NC",1632810163.3333335,33898
"Lawrence, KS",6032844006.0,121989
"Lawrenceburg, TN",1727937351.0,46467
"Lawton, OK",4883214518.888888,126899
"Lebanon, MO",1104407259.4285715,36738
"Lebanon, PA",8475621685.75,145319
"Lewisburg, PA",2074626321.857143,42159
"Lewisburg, TN",2111819346.2857144,37847
"Lewiston, ID-WA",2788226610.0,65370
"Lewiston-Auburn, ME",5486582172.0,115272
"Lewistown, PA",2100377875.0,45935
"Lexington, NE",1509036200.0,26362
"Lexington-Fayette, KY",21766778747.578945,533366
"Liberal, KS",759542562.0,21276
"Lima, OH",5159951529.0,100866
"Lincoln, IL",1403893668.2857144,27518
"Lincoln, NE",15614147157.199999,350626
"Little Rock-North Little Rock-Conway, AR",32132339367.625,769258
"Lock Haven, PA",1812932024.1666667,37865
"Logan, UT-ID",13248825375.0,161125
"Logansport, IN",1768926954.1428573,37559
"Longview, TX",19196187735.833332,295490
"Longview-Kelso, WA",7861547506.999999,113982
"Los Alamos, NM",949948350.0,19675
"Los Angeles-Long Beach-Anaheim, CA",965727855038.0,12927614
"Louisville/Jefferson County, KY-IN",67294990553.76,1394234
"Lubbock, TX",15634208648.875,367109
"Ludington, MI",1345074124.8,29093
"Lufkin, TX",8789655932.25,88094
"Lumberton, NC",5475387280.0,118624
"Lynchburg, VA",11190327172.0,266432
"Macomb, IL",1218186780.0,26662
"Macon-Bibb County, GA",10746124867.5625,237617
"Madison, IN",1538859224.0,32921
"Madison, WI",39044000825.6,707606
"Madisonville, KY",1966387629.6666667,45218
"Magnolia, AR",746975422.8571429,22024
"Malvern, AR",1396604694.0,33313
"Manchester-Nashua, NH",30687313133.5,430462
"Manhattan, KS",5327981077.5,134892
"Manitowoc, WI",4342022839.285714,81513
"Mankato, MN",4497331356.571428,105193
"Mansfield, OH",5404137252.0,124853
"Marietta, OH",2238548832.0,58332
"Marinette, WI-MI",2553880019.666667,65393
"Marion, IN",3382417886.0,66458
"Marion, NC",2027656713.0000002,45269
"Marion, OH",2874009149.714286,64976
"Marquette, MI",2003284480.8333335,67979
"Marshall, MN",1023489232.0,25577
"Marshall, MO",963392475.0,23325
"Marshalltown, IA",2172372642.0,40392
"Martin, TN",1167627387.6000001,33162
"Martinsville, VA",2296655957.142857,63219
"Maryville, MO",868331340.0,20503
"Mason City, IA",2658174600.0,49800
"Mayfield, KY",1497514672.625,36821
"McAlester, OK",1756499415.0,43395
"McAllen-Edinburg-Mission, TX",28452731640.0,914820
"McComb, MS",2252888807.0,52819
"McMinnville, TN",1748069591.625,43619
"McPherson, KS",1309263974.3999999,30334
"Meadville, PA",3602698577.9999995,82089
"Medford, OR",8864926276.800001,221331
"Memphis, TN-MS-AR",53482083983.69565,1339345
"Menomonie, WI",1679575431.6666665,46135
"Merced, CA",24892428005.428574,296774
"Meridian, MS",3161805278.625,85743
"Mexico, MO",1168989994.6666665,24304
"Miami, OK",1182487570.0,30404
"Miami-Fort Lauderdale-West Palm Beach, FL",600222356938.5,6457988
"Michigan City-La Porte, IN",8937143082.0,111348
"Middlesborough, KY",697076646.875,23051
"Midland, MI",3593486504.8,84022
"Midland, TX",15670645447.5,188766
"Milledgeville, GA",1986958566.0,43644
"Milwaukee-Waukesha, WI",86678961977.66666,1574452
"Mineral Wells, TX",1405111687.5,30231
"Minneapolis-St. Paul-Bloomington, MN-WI",162548555840.0,3757952
"Minot, ND",5375752270.666666,75938
"Missoula, MT",5530631755.666666,127741
"Mitchell, SD",1401338016.0,25776
"Moberly, MO",1201625285.2,24077
"Mobile, AL",18376437320.333336,412339
"Modesto, CA",75888708078.85715,556972
"Monroe, LA",7852452664.0,221921
"Monroe, MI",9278373282.0,156045
"Montgomery, AL",13437915646.071428,387885
"Montrose, CO",3355796576.857143,44806
"Morehead City, NC",3187738653.75,70259
"Morgan City, LA",2002735125.6000001,46799
"Morgantown, WV",8290982628.0,142752
"Morristown, TN",5606380175.5,126932
"Moscow, ID",1565004540.0,42180
"Moses Lake, WA",6218188541.777778,104717
"Moultrie, GA",1876697595.0000002,46977
"Mountain Home, AR",1331951365.4285715,43007
"Mountain Home, ID",1452836410.6666667,29729
"Mount Airy, NC",2527302379.0,71547
"Mount Pleasant, MI",2705010504.0,65072
"Mount Pleasant, TX",3340669578.0,56895
"Mount Sterling, KY",1752154142.4545455,48063
"Mount Vernon, IL",1488681293.7142856,36107
"Mount Vernon, OH",2878970168.0,63848
"Mount Vernon-Anacortes, WA",9482261632.0,132736
"Muncie, IN",5401236140.714286,112951
"Murray, KY",1596169158.3333333,38975
"Muscatine, IA",2356864080.0,42132
"Muskegon-Norton Shores, MI",8402576081.333333,177428
"Muskogee, OK",2736593600.0,66752
"Myrtle Beach-Conway-North Myrtle Beach, SC",19226867083.875,413391
"Nacogdoches, TX",7095166707.2,65728
"Napa, CA",16973261487.0,132727
"Naples-Marco Island, FL",37092673167.16667,416233
"Nashville-Davidson--Murfreesboro--Franklin, TN",96883453240.16129,2150553
"Natchez, MS-LA",2132641114.8000002,53371
"Natchitoches, LA",1234250566.0,35982
"New Bern, NC",5886783105.777778,126179
"Newberry, SC",1492626222.857143,39203
"New Castle, IN",2514952509.4285717,49081
"New Haven, CT",58314379195.6,576718
"New Orleans-Metairie, LA",46553927630.0,966230
"New Philadelphia-Dover, OH",4224648157.7142854,92048
"Newport, OR",3314440640.0,51212
"Newport, TN",1560679781.1428573,37596
"New Ulm, MN",1127174147.1428573,25710
"New York-Newark-Jersey City, NY-NJ",2002272433835.8376,19940274
"Niles, MI",10313026159.5,152703
"Nogales, AZ",2228160420.0,50508
"Norfolk, NE",2031755541.6000001,48669
"North Platte, NE",1734579513.5454545,34013
"North Port-Bradenton-Sarasota, FL",46231548462.0,934956
"North Wilkesboro, NC",2956484496.0,66186
"Norwalk, OH",2689788036.5714283,58168
"Norwich-New London-Willimantic, CT",22132096745.142857,282602
"Oak Harbor, WA",10598397768.0,86478
"Ocala, FL",19132471695.714283,428905
"Odessa, TX",13725672033.6,170022
"Ogden, UT",50059716815.5,667681
"Oil City, PA",1877010592.8000002,49476
"Okeechobee, FL",3724378095.375,42369
"Oklahoma City, OK",60795529565.10527,1497821
"Olean, NY",3130476575.0,75475
"Olympia-Lacey-Tumwater, WA",37136587123.200005,302912
"Omaha, NE-IA",43696668052.10526,1001010
"Oneonta, NY",3131912731.5,60524
"Ontario, OR-ID",2615141144.8,59977
"Opelousas, LA",3070110716.0,80869
"Orangeburg, SC",3608205932.1,83129
"Orlando-Kissimmee-Sanford, FL",187621837839.27274,2940513
"Oshkosh-Neenah, WI",9825149328.5,173307
"Oskaloosa, IA",1067431621.5,22034
"Othello, WA",981376778.4,21039
"Ottawa, KS",1202532725.3333333,26273
"Ottumwa, IA",1752503535.875,35681
"Owatonna, MN",1628229264.0,37434
"Owensboro, KY",6014465946.5,113583
"Owosso, MI",3081148186.0,67982
"Oxford, MS",2587291285.0,72301
"Oxnard-Thousand Oaks-Ventura, CA",70422736678.5,835427
"Ozark, AL",2027137729.5,50067
"Paducah, KY-IL",4485044353.0,102395
"Pahrump, NV",3395356778.0,55990
"Palatka, FL",3845978739.0000005,77301
"Palestine, TX",4409164730.666667,59512
"Palm Bay-Melbourne-Titusville, FL",39164559249.4,658447
"Pampa, TX",926949265.0,21725
"Panama City-Panama City Beach, FL",8828472468.375,226221
"Paragould, AR",1508132957.3333335,46928
"Paris, TN",1077778688.5,32883
"Paris, TX",3450833735.0,62945
"Parkersburg-Vienna, WV",3535543426.8,87681
"Payson, AZ",4843449930.142857,54073
"Pella, IA",1891207509.3333335,34048
"Pensacola-Ferry Pass-Brent, FL",25542627292.0,538928
"Peoria, IL",25818753703.57143,364565
"Peru, IN",1746995715.0,35613
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",496185861852.3334,6330422
"Phoenix-Mesa-Chandler, AZ",480429017355.0,5186958
"Picayune, MS",2441691621.428571,59030
"Pierre, SD",1181777650.125,20541
"Pine Bluff, AR",2537125594.5454545,71039
"Pinehurst-Southern Pines, NC",5379773509.125,108417
"Pittsburg, KS",1451886164.5714285,38904
"Pittsburgh, PA",145448554334.41666,2429917
"Pittsfield, MA",10545797096.25,128726
"Plainview, TX",1422679720.0,36995
"Platteville, WI",2470492758.75,52330
"Plattsburgh, NY",3768317857.8,77871
"Plymouth, IN",2297141440.0,46464
"Pocatello, ID",6966496965.0,91010
"Ponca City, OK",1624847859.0,43437
"Pontiac, IL",3291290000.0,35375
"Poplar Bluff, MO",1427955069.0,41814
"Port Angeles, WA",12302318106.0,77958
