ActivityCode,Activity
B,Mining and quarrying
05,Mining of coal and lignite
051,Mining of hard coal
052,Mining of lignite
06,Extraction of crude petroleum & natural gas
061,Extraction of crude petroleum
062,Extraction of natural gas
07,Mining of metal ores
071,Mining of iron ores
072,Mining of non-ferrous metal ores
08,Other mining and quarrying
081,"Quarrying of stone, sand and clay"
089,Mining and quarrying n.e.c.
09,Mining support service activities
091,Support activities for petroleum
099,"Support activities for other mining, quarrying"
C,Total manufacturing
10,Food products
101,Processing/preserving of meat
1010,Processing/preserving of meat
102,"Processing/preserving of fish, etc."
1020,"Processing/preserving of fish, etc."
103,"Processing/preserving of fruit,vegetables"
1030,"Processing/preserving of fruit,vegetables"
104,Vegetable and animal oils and fats
1040,Vegetable and animal oils and fats
105,Dairy products
1050,Dairy products
106,"Grain mill products,starches and starch products"
1061,Grain mill products
1062,Starches and starch products
107,Other food products
1071,Bakery products
1072,Sugar
1073,"Cocoa, chocolate and sugar confectionery"
1074,"Macaroni, noodles, couscous, etc."
1075,Prepared meals and dishes
1079,Other food products n.e.c.
108,Prepared animal feeds
1080,Prepared animal feeds
11,Beverages
1101,"Distilling, rectifying and blending of spirits"
110,Beverages
1102,Wines
1103,Malt liquors and malt
1104,"Soft drinks,mineral waters,other bottled waters"
12,Tobacco products
120,Tobacco products
1200,Tobacco products
13,Textiles
131,"Spinning, weaving and finishing of textiles"
1311,Preparation and spinning of textile fibres
1312,Weaving of textiles
1313,Finishing of textiles
139,Other textiles
1391,Knitted and crocheted fabrics
1392,"Made-up textile articles, except apparel"
1393,Carpets and rugs
1394,"Cordage, rope, twine and netting"
1399,Other textiles n.e.c.
14,Wearing apparel
141,"Wearing apparel, except fur apparel"
1410,"Wearing apparel, except fur apparel"
142,Articles of fur
1420,Articles of fur
143,Knitted and crocheted apparel
1430,Knitted and crocheted apparel
15,Leather and related products
151,"Leather;luggage,handbags,saddlery,harness;fur"
1511,Tanning/dressing of leather; dressing of fur
1512,"Luggage,handbags,etc.;saddlery/harness"
152,Footwear
1520,Footwear
16,"Wood products, excluding furniture"
161,Sawmilling and planing of wood
1610,Sawmilling and planing of wood
162,"Wood products, cork, straw, plaiting materials"
1621,Veneer sheets and wood-based panels
1622,Builders' carpentry and joinery
1623,Wooden containers
1629,"Other wood products;articles of cork,straw"
17,Paper and paper products
1701,"Pulp, paper and paperboard"
170,Paper and paper products
1702,Corrugated paper and paperboard
1709,Other articles of paper and paperboard
18,Printing and reproduction of recorded media
181,Printing and service activities related to printing
1811,Printing
1812,Service activities related to printing
182,Reproduction of recorded media
1820,Reproduction of recorded media
19,Coke and refined petroleum products
191,Coke oven products
1910,Coke oven products
192,Refined petroleum products
1920,Refined petroleum products
20,Chemicals and chemical products
201,"Basic chemicals,fertilizers, etc."
2011,Basic chemicals
2012,Fertilizers and nitrogen compounds
2013,Plastics and synthetic rubber in primary forms
202,Other chemical products
2021,Pesticides and other agrochemical products
2022,"Paints,varnishes;printing ink and mastics"
2023,"Soap,cleaning and cosmetic preparations"
2029,Other chemical products n.e.c.
203,Man-made fibres
2030,Man-made fibres
21,"Pharmaceuticals,medicinal chemicals, etc."
210,"Pharmaceuticals,medicinal chemicals, etc."
2100,"Pharmaceuticals,medicinal chemicals, etc."
22,Rubber and plastics products
221,Rubber products
2211,Rubber tyres and tubes
2219,Other rubber products
222,Plastics products
2220,Plastics products
23,Other non-metallic mineral products
231,Glass and glass products
2310,Glass and glass products
239,Non-metallic mineral products n.e.c.
2391,Refractory products
2392,Clay building materials
2393,Other porcelain and ceramic products
2394,"Cement, lime and plaster"
2395,"Articles of concrete, cement and plaster"
2396,"Cutting, shaping and finishing of stone"
2399,Other non-metallic mineral products n.e.c.
24,Basic metals
241,Basic iron and steel
2410,Basic iron and steel
242,Basic precious and other non-ferrous metals
2420,Basic precious and other non-ferrous metals
243,Casting of metals
2431,Casting of iron and steel
2432,Casting of non-ferrous metals
25,"Fabricated metal products, except machinery"
251,"Struct.metal products, tanks, reservoirs"
2511,Structural metal products
2512,"Tanks, reservoirs and containers of metal"
2513,"Steam generators, excl. hot water boilers"
252,Weapons and ammunition
2520,Weapons and ammunition
259,Other metal products;metal working services
2591,"Forging,pressing,stamping,roll-forming of metal"
2592,Treatment and coating of metals; machining
2593,"Cutlery, hand tools and general hardware"
2599,Other fabricated metal products n.e.c.
