scian_2023,nombre
111110,Cultivo de soya 
111121,Cultivo de cártamo 
111122,Cultivo de girasol 
111129,Cultivo anual de otras semillas oleaginosas 
111131,Cultivo de frijol grano 
111132,Cultivo de garbanzo grano 
111139,Cultivo de otras leguminosas 
111140,Cultivo de trigo 
111151,Cultivo de maíz grano 
111191,Cultivo de sorgo grano 
111192,Cultivo de avena grano 
111193,Cultivo de cebada grano 
111194,Cultivo de sorgo forrajero 
111195,Cultivo de avena forrajera 
111199,Cultivo de otros cereales 
111992,Cultivo de cacahuate 
111999,Otros cultivos (cultivo de diferentes especies vegetales cuando sea imposible determinar la actividad principal)
111160,Cultivo de arroz 
111211,Cultivo de jitomate o tomate rojo 
111213,Cultivo de cebolla 
111214,Cultivo de melón 
111215,Cultivo de tomate verde 
111216,Cultivo de papa 
111217,Cultivo de calabaza 
111218,Cultivo de sandía 
111219,"Cultivo de otras hortalizas (cultivo de brócoli, zanahorias, lechuga, espárrago, nopal, pepino, y otras hortalizas n.c.p.*)"
111411,Cultivo de jitomate en invernaderos y otras estructuras agrícolas protegidas 
111416,Cultivo de pepino en invernaderos y otras estructuras agrícolas protegidas 
111419,"Cultivo de otros productos alimenticios en invernaderos y otras estructuras agrícolas protegidas (cultivo de acelga, berenjena, calabacitas, chícharos, hongos, lechuga, nopal verdura, rabanito, verdolaga, zanahoria y otros cultivos en invernaderos y otras estructuras agrícolas protegidas n.c.p.*)"
111999,Otros cultivos (cultivo de remolacha azucarera)
111930,Cultivo de caña de azúcar 
111910,Cultivo de tabaco 
111920,Cultivo de algodón 
111999,"Otros cultivos (cultivo de yute, lino, sisal, ramio y fibras naturales similares)"
111152,Cultivo de maíz forrajero 
111219,Cultivo de otras hortalizas (cultivo de otras hortalizas no perenes n.c.p.*)
111421,Floricultura a cielo abierto 
111422,Floricultura en invernaderos y otras estructuras agrícolas protegidas 
111941,Cultivo de alfalfa 
111942,Cultivo de pastos 
111999,Otros cultivos (cultivo de semillas de plantas forrajeras y de semillas de flores)
111335,Cultivo de uva 
111332,Cultivo de plátano 
111333,Cultivo de mango 
111334,Cultivo de aguacate 
111339,Cultivo de otros frutales no cítricos y de nueces (cultivo de papaya y piña)
111419,Cultivo de otros productos alimenticios en invernaderos y otras estructuras agrícolas protegidas (cultivo de otras frutas tropicales y subtropicales en invernaderos y otras estructuras agrícolas protegidas n.c.p.*)
111310,Cultivo de naranja 
111321,Cultivo de limón 
111329,Cultivo de otros cítricos 
111336,Cultivo de manzana 
111339,"Cultivo de otros frutales no cítricos y de nueces (cultivo de ciruelas, guayaba, duraznos, zapotes y peras)"
111415,Cultivo de manzana en invernaderos y otras estructuras agrícolas protegidas 
111339,"Cultivo de otros frutales no cítricos y de nueces (cultivo de mora, fresa, kiwi, nueces, piñón, avellana, y otros frutales no cítricos n.c.p.*)"
111412,Cultivo de fresa en invernaderos y otras estructuras agrícolas protegidas 
111413,"Cultivo de bayas (berries) en invernaderos y otras estructuras agrícolas protegidas, excepto fresas "
111999,Otros cultivos (cultivo de semilla mejorada de fruta)
111338,Cultivo de coco 
111339,Cultivo de otros frutales no cítricos y de nueces (cultivo de olivo)
111331,Cultivo de café 
111337,Cultivo de cacao 
111991,Cultivo de agaves alcoholeros 
111999,Otros cultivos (cultivo de té)
111212,Cultivo de chile 
111414,Cultivo de chile en invernaderos y otras estructuras agrícolas protegidas 
111419,Cultivo de otros productos alimenticios en invernaderos y otras estructuras agrícolas protegidas (cultivo de albahaca en invernaderos y otras estructuras agrícolas protegidas)
111999,Otros cultivos (cultivo de especias)
111423,Cultivo de árboles de ciclo productivo de 10 años o menos 
111999,"Otros cultivos (cultivo de árboles para la recolección de caucho, de sabia, gomas y resinas)"
111419,Cultivo de otros productos alimenticios en invernaderos y otras estructuras agrícolas protegidas (producción de plántulas y plantitas de hortalizas en almácigos en invernaderos y otras estructuras agrícolas protegidas)
111429,Otros cultivos no alimenticios en invernaderos y otras estructuras agrícolas protegidas 
111999,Otros cultivos (cultivo de pasto en rollo)
112110,Explotación de bovinos para la producción de carne 
112120,Explotación de bovinos para la producción de leche 
112131,Explotación de bovinos para la producción conjunta de leche y carne 
112139,Explotación de bovinos para otros propósitos 
115210,Servicios relacionados con la cría y explotación de animales (obtención de semen animal)
112920,Explotación de équidos 
112991,Explotación de animales combinada con aprovechamiento forestal (cría de camellos y otros camélidos)
112410,Explotación de ovinos 
112420,Explotación de caprinos 
112211,Explotación de porcinos en granja 
112212,Explotación de porcinos en traspatio 
112311,Explotación de gallinas para la producción de huevo fértil 
112312,Explotación de gallinas para la producción de huevo para plato 
112320,Explotación de pollos para la producción de carne 
112330,Explotación de guajolotes o pavos 
112340,Producción de aves en incubadora 
112390,Explotación de otras aves para producción de carne y huevo (explotación de patos y gansos)
112390,"Explotación de otras aves para producción de carne y huevo (explotación de avestruces, codornices, faisanes, palomas y emúes, y otras aves para la producción de carne y huevo n.c.p.*)"
112910,Apicultura 
112930,Cunicultura y explotación de animales con pelaje fino 
112991,"Explotación de animales combinada con aprovechamiento forestal (explotación de aves de ornato, gusanos de seda, gatos, perros, gallos de pelea y de otros animales n.c.p.*)"
112999,Explotación de otros animales (unidades económicas que combinan la explotación de animales de diferentes especies cuando sea imposible determinar cuál es la actividad principal)
111993,Actividades agrícolas combinadas con explotación de animales 
111994,Actividades agrícolas combinadas con aprovechamiento forestal 
111995,Actividades agrícolas combinadas con explotación de animales y aprovechamiento forestal 
112991,Explotación de animales combinada con aprovechamiento forestal (explotación de animales combinada con aprovechamiento forestal)
115111,Servicios de fumigación agrícola 
115119,"Otros servicios relacionados con la agricultura (servicios de preparación de suelo, fertilización, siembra, desgrane, poda de árboles frutales, trilla, cosecha, trasplante, admón. de unidades agrícolas, alquiler de maquinaria y equipo de uso agrícola con operador, y la colocación de personal agrícola)"
115119,Otros servicios relacionados con la agricultura (actividades agropecuarias por contrato)
115210,Servicios relacionados con la cría y explotación de animales (servicios relacionados con la ganadería)
115112,Despepite de algodón 
115113,Beneficio de productos agrícolas 
111999,Otros cultivos (tratamiento de semillas para propagación)
114210,Caza y captura 
113110,Silvicultura 
113211,Viveros forestales 
113212,Recolección de productos forestales (recolección de leña)
113310,Aprovechamiento de árboles (tala de árboles en superficies forestales)
111999,Otros cultivos (recolección de sabia de maple)
113212,"Recolección de productos forestales (recolección de gomas, resinas, cortezas, musgos, bálsamos, rizomas, fibras, heno, frutas silvestres, plantas ornamentales y medicinales, semillas, raíces y corcho)"
113310,Aprovechamiento de árboles (servicio de transporte de troncos en el bosque por parte de quienes hacen su corte)
115310,Servicios relacionados con el aprovechamiento forestal 
541690,Otros servicios de consultoría científica y técnica (servicios de consultoría forestal)
114111,Pesca de camarón (pesca de camarón en agua salada)
114112,Pesca de túnidos 
114113,Pesca de sardina y anchoveta 
114119,"Pesca y captura de otros peces, crustáceos, moluscos y otras especies (pesca y captura de guachinango, mojarra, robalo, calamar, pulpo, langosta, langostino, ostión, abulón, escualos, jaiba, acamaya, algas y otras especies acuáticas de agua salada n.c.p.*)"
311710,Preparación y envasado de pescados y mariscos (procesamiento de pescados y mariscos en barcos fábrica)
114111,Pesca de camarón (pesca de camarón en agua dulce)
114119,"Pesca y captura de otros peces, crustáceos, moluscos y otras especies (pesca y captura de guachinango, mojarra, robalo, calamar, pulpo, langosta, langostino, ostión, abulón, escualos, jaiba, acamaya, algas y otras especies acuáticas de agua dulce n.c.p.*)"
112513,Camaronicultura y acuicultura de otros crustáceos en agua salada 
112516,Piscicultura en agua salada 
112519,Otra acuicultura 
112514,Camaronicultura y acuicultura de otros crustáceos en agua dulce 
112515,Piscicultura en agua dulce 
212110,Minería de carbón mineral (extracción de hulla)
212110,Minería de carbón mineral (extracción de lignito)
211111,Extracción de petróleo y gas natural asociado (extracción de petróleo crudo asociado)
211111,Extracción de petróleo y gas natural asociado (extracción de gas natural asociado)
211112,Extracción de gas natural no asociado 
212210,Minería de hierro 
212293,Minería de uranio y minerales radiactivos 
212221,Minería de oro 
212222,Minería de plata 
212231,Minería de cobre 
212232,Minería de plomo y zinc 
212291,Minería de manganeso 
212292,Minería de mercurio y antimonio 
212299,Minería de otros minerales metálicos 
212311,Minería de piedra caliza (minería de piedra caliza)
212312,Minería de mármol 
