ciiu_rev_3,ciiu_rev_4
111,111
111,112
111,113
111,114
111,115
111,116
111,119
111,126
111,128
111,129
111,163
112,113
112,119
112,125
112,128
112,129
112,130
112,230
113,121
113,122
113,123
113,124
113,125
113,126
113,127
113,128
113,230
113,1102
121,141
121,142
121,144
122,143
122,145
122,146
122,149
122,321
122,322
130,150
140,161
140,162
140,163
140,164
140,8130
150,170
150,9499
200,129
200,130
200,210
200,220
200,230
200,240
501,311
501,312
502,321
502,322
1010,510
1010,990
1010,1920
1020,520
1020,990
1020,1920
1030,892
1030,990
1110,610
1110,620
1110,910
1120,910
1200,721
1200,990
1310,710
1310,990
1320,729
1320,990
1410,810
1410,990
1421,891
1421,990
1422,893
1422,990
1429,810
1429,899
1429,990
1511,1010
1512,1020
1512,1075
1513,1030
1513,1075
1514,1040
1520,1050
1531,1061
1532,1062
1533,1080
1541,1071
1542,1072
1543,1073
1544,1074
1544,1075
1549,1030
1549,1071
1549,1075
1549,1079
1549,3530
1551,1101
1551,2011
1552,1102
1553,1103
1554,1104
1600,1200
1711,1311
1711,1312
1712,1313
1721,1392
1721,3250
1721,3319
1722,1393
1723,1394
1723,3319
1729,1313
1729,1399
1729,1709
1730,1391
1730,1430
1810,1313
1810,1410
1810,3290
1820,1420
1820,1511
1911,1511
1912,1512
1912,3290
1920,1512
1920,1520
1920,1629
1920,2219
1920,2220
1920,3230
2010,1610
2021,1621
2022,1622
2023,1623
2023,3319
2029,1629
2029,3290
2029,3319
2101,1701
2102,1702
2109,1709
2109,1811
2109,2220
2211,3290
2211,5811
2211,5812
2212,5813
2213,5920
2219,5813
2219,5819
2221,1709
2221,1811
2222,1812
2230,1820
2310,1910
2320,1920
2330,2011
2330,2100
2330,2420
2330,3812
2330,3822
2411,1910
2411,2011
2412,2012
2412,3821
2413,2013
2421,2021
2422,2022
2423,2100
2423,3250
2424,2023
2429,1079
2429,2011
2429,2029
2429,2610
2429,2680
2429,2817
2430,2030
2511,2211
2519,2219
2519,2220
2519,2812
2519,3290
2519,3319
2520,2220
2520,2610
2520,2733
2520,3290
2520,3314
2520,3319
2610,2310
2610,3319
2691,2392
2691,2393
2692,2391
2693,2392
2694,2394
2695,2395
2696,2396
2699,1312
2699,2399
2699,3290
2699,3319
2710,2410
2710,2431
2720,2420
2731,2431
2732,2432
2811,2511
2811,3311
2812,2512
2812,3311
2813,2513
2813,3311
2813,3320
2891,2591
2892,162
2892,1811
2892,2592
2892,3311
2893,2593
2893,3311
2899,2599
2899,2817
2899,3290
2899,3311
2911,2811
2911,3312
2911,3320
2912,2811
2912,2812
2912,2813
2912,3312
2912,3320
2913,2812
2913,2814
2913,3312
2914,2815
2914,3312
2914,3320
2915,2816
2915,3312
2915,3320
2919,2819
2919,3250
2919,3312
2919,3320
2921,2821
2921,3312
2921,3320
2922,2790
2922,2818
2922,2819
2922,2822
2922,3312
2922,3314
2922,3320
2923,2823
2923,3312
2923,3320
2924,2824
2924,3312
2924,3320
2925,2825
2925,3312
2925,3320
2926,2826
2926,3312
2926,3320
2927,2520
2927,3030
2927,3040
2927,3311
2929,2593
2929,2790
2929,2826
2929,2829
2929,3311
2929,3312
2929,3314
2929,3320
2930,2750
2930,2815
2930,2819
3000,2610
3000,2620
3000,2817
3000,3320
3110,2610
3110,2710
3110,2790
3110,2811
3110,3312
3110,3314
3110,3320
3120,2610
3120,2710
3120,2733
3120,2790
3120,3314
3130,2610
3130,2731
3130,2732
3130,2790
3130,3314
3140,2720
3140,3314
3150,2740
3150,2790
3150,3314
3190,2599
3190,2630
3190,2651
3190,2733
3190,2740
3190,2790
3190,2822
3190,2930
3190,3020
3190,3313
3190,3314
3210,2610
3210,2790
3210,3314
3220,2630
3220,2651
3220,3313
3220,3320
3220,9512
3230,2610
3230,2630
3230,2640
3230,2670
3230,2817
3230,3312
3230,3313
3230,9521
3311,2660
3311,3250
3311,3290
3311,3313
3311,3319
3311,3320
3312,2651
3312,2670
3312,2819
3312,2829
3312,3250
3312,3313
3312,3319
3313,2651
3313,3313
3313,3320
3320,2670
3320,2731
3320,2829
3320,3250
3320,3313
3330,2652
3330,3211
3330,3212
3330,3319
3410,2910
3420,2920
3420,3311
3430,1392
3430,2811
3430,2930
3511,3011
3511,3315
3512,3012
3512,3315
3520,3020
3520,3315
3530,2811
3530,2829
3530,3030
3530,3315
3591,2811
3591,3091
3592,3092
3599,2816
3599,3099
3599,3100
3599,3312
3599,3315
3610,2219
3610,2220
3610,2817
3610,2930
3610,3011
3610,3020
3610,3030
3610,3100
3610,9524
3691,3211
3692,3220
3692,3319
3693,3230
3693,3290
3694,2640
3694,2829
3694,3240
3694,3312
3694,3319
3699,1399
3699,1512
3699,1629
3699,1709
3699,2029
3699,2219
3699,2220
3699,2599
3699,2829
3699,3092
3699,3212
3699,3290
3699,3312
3710,3830
3720,3830
4010,3510
4020,3520
4030,3530
4100,3600
4510,990
4510,3900
4510,4311
4510,4312
4520,4100
4520,4210
4520,4220
4520,4290
4520,4390
4530,4321
4530,4322
4530,4329
4530,4330
4530,4390
4540,3320
4540,4329
4540,4330
4540,4390
4550,4312
4550,4390
5010,4510
5020,4520
5020,5221
5030,4530
5040,4540
5050,4730
5110,4610
5121,4620
5122,4630
5131,4641
5139,4649
5139,4663
5141,4661
5142,4662
5143,4663
5149,4669
5151,4651
5152,4652
5159,4653
5159,4659
5190,4690
5211,4711
5219,4719
5220,4721
5220,4722
5220,4723
5231,4772
5232,4751
5232,4771
5233,4742
5233,4753
5233,4759
5233,4762
5234,4752
5239,4741
5239,4753
5239,4761
5239,4763
5239,4764
5239,4773
5240,4774
5251,4791
5252,4781
5252,4782
5252,4789
5259,4791
5259,4799
5260,3313
5260,8020
5260,9512
5260,9521
5260,9522
5260,9523
5260,9524
5260,9529
5510,5510
5510,5520
5510,5590
5520,5610
5520,5621
5520,5629
5520,5630
6010,4911
6010,4912
6010,5221
6021,4921
6021,4922
6022,4922
6023,4923
6030,4930
6110,5011
6110,5012
6120,5021
6120,5022
6210,5110
6210,5120
6220,5110
6220,5120
6301,5224
6302,5210
6303,3315
6303,5221
6303,5222
6303,5223
6304,7911
6304,7912
6304,7990
6309,5229
6309,7490
6411,5310
6411,8219
6412,5320
6420,6110
6420,6120
6420,6130
6420,6190
