hs2012_code_upstream,hs2012_code_downstream
8466,8479
2618,7306
9001,9027
7411,8530
3203,5210
7508,8411
2803,8532
5508,6502
7505,8606
4205,6506
5003,5804
8112,8802
2924,3215
3919,4905
8444,5211
3920,8707
3910,3918
9114,9101
7224,7229
8514,7113
3204,6114
8466,8207
7907,8481
707,711
7003,9003
3403,6003
8447,6210
2611,8207
8454,8003
8512,8705
7608,8544
8102,7225
2905,3209
1008,1209
8424,3207
7325,8710
2507,4807
2709,6807
3926,8802
5606,6001
7405,7402
5603,6402
9025,8415
2529,7004
7212,7310
3925,3917
3926,3924
4107,6506
8201,8201
7205,7210
9002,9022
705,2004
2712,3307
8102,8468
2008,2206
7407,8205
4403,8439
2827,3820
7303,8410
5510,5911
407,2106
301,2104
2608,8311
7221,8487
3401,3401
7210,8433
8501,8422
301,2301
7502,8505
8113,8480
7604,8310
7014,8475
8483,9033
8438,1905
7009,8528
3904,3914
810,2208
5209,6305
5509,5909
5507,5112
8464,3207
5001,5808
5305,6117
7505,9202
2701,8402
9109,9106
3403,5901
8468,7307
7009,8705
2914,3215
5204,4202
7206,8476
4407,9112
3920,6401
5516,5401
7905,8518
3002,3002
5001,5004
5306,6502
8451,6201
8457,8708
7320,7322
7406,8503
8444,6110
8471,8517
4405,4812
3102,711
3205,2103
2909,3304
7213,8303
8108,8906
3505,3505
8532,9106
7403,8443
3911,4002
9209,9205
2707,3809
2520,6910
2823,4810
7229,9306
101,4101
7213,7316
1518,3405
8442,4907
8417,3816
6109,6117
4705,4822
3207,7009
3906,6402
5506,6208
8487,8430
2522,2522
4101,4303
7408,8518
7904,8403
8208,8435
8475,8540
3901,5904
7303,8487
1703,1702
2525,6804
4601,5703
6307,5810
8543,8547
5209,6201
7318,9307
5602,5904
8311,7326
8108,9306
5206,6114
7501,8507
5104,4303
7306,8410
2508,7020
2530,2820
5408,5806
3904,3926
5202,5206
7608,7612
4007,8801
8521,8523
4405,6602
7229,7322
2849,8480
7306,8429
7209,8904
8425,8903
7016,7020
5902,5907
5003,6214
8213,6505
4001,5604
2928,3603
8503,8422
7902,9111
5202,5701
8464,6804
7107,9003
7207,8307
8420,3925
7326,8705
7216,8607
5212,4201
8002,9111
5104,6204
5503,6702
9018,9018
5005,6108
3921,8609
8544,8802
8003,8481
7220,8402
8101,8465
7303,7308
6003,8715
7304,9307
8543,8708
8113,8209
7111,7115
5106,6214
5404,8804
7224,8487
7004,9002
5311,6502
2840,6910
3902,6209
5302,6505
7210,9111
3809,6212
7218,8459
5804,6202
4017,8519
2705,7211
4304,5705
7501,7504
4301,4303
2914,2942
7207,8213
8445,6308
7304,8704
3809,4201
5002,5801
3907,8516
3919,8538
3506,6405
7616,8603
7003,7009
7305,8474
7907,7224
5201,5513
6006,5905
3908,6001
7326,7302
7219,8428
7508,7225
7326,7211
3905,5910
8504,8486
7401,8539
9032,8417
8487,8422
7209,8502
710,1404
7610,8703
2929,3824
4005,8424
5902,6308
7219,8602
7506,8208
5802,6217
7606,8905
2619,7303
5604,6111
2826,7006
7404,8705
7407,8515
3909,8480
7222,8701
2927,4810
1522,3304
7202,7208
5001,5006
7210,8426
2608,8506
6815,6801
6006,6212
8532,8476
3404,3006
6003,6406
3909,3922
1401,5805
3801,8516
3204,6210
7320,8408
5609,6109
8501,8424
5903,5811
8538,9008
2525,3209
2921,5402
3903,6402
8455,8214
8438,1902
3208,6202
2512,6904
7504,8215
5508,4201
6104,8451
8462,8479
5808,6505
8482,8428
5201,6103
7204,7210
7207,8450
7210,8413
3812,8803
8480,9301
5810,6105
5515,6206
4802,4911
5401,5811
8546,8601
2933,2937
4504,9113
7410,8442
7219,8482
1502,1602
7309,8434
6813,8703
8446,5113
7211,7306
7107,8481
2917,3210
8444,5810
7310,1509
7213,8603
5504,6003
6914,6910
7616,7607
5109,5602
2816,8546
7226,8407
7502,8708
3903,8535
3923,8424
7204,7321
7605,7118
1802,2105
8532,8607
7403,9105
7606,8708
1506,1502
7304,8451
8442,4804
7019,8538
2849,8467
7315,8302
4802,4807
8408,8906
5506,5808
4003,8708
7308,8608
5507,6001
5210,5907
8484,8707
7505,8448
8408,8429
7301,8607
709,710
8480,7610
7208,8602
5107,6504
4016,4011
9024,7216
9024,7208
5902,5402
5504,6209
9032,8448
4908,6405
7502,8411
9007,3706
1108,3006
7508,7222
1301,3213
3903,3923
2921,3307
7610,8604
7222,8710
7205,7227
511,2309
2618,7006
5511,5407
907,1601
3826,8702
5309,6305
5608,8903
7213,8436
7211,7217
8440,5901
5605,5911
5402,6217
8439,4813
6908,6914
4114,6406
2903,2942
3923,3307
7207,8424
8534,8511
2506,9027
8477,4005
5311,5805
7219,9110
7609,8429
7309,2715
9108,9111
7506,8418
6005,6215
8454,8001
704,711
2904,3809
1005,2208
3703,4909
5603,5901
3808,709
5208,6302
3902,9111
6903,8516
7215,8466
7227,8606
2711,3817
3906,6301
8454,7210
6305,1106
409,2206
7209,7316
8534,8537
5101,6502
9103,9111
8457,8606
7904,8712
2808,2833
8452,6217
5401,6111
3209,5904
2840,3208
7218,7301
711,2104
3920,6306
7112,7110
4822,4902
5902,6107
8468,8455
7409,9104
1106,1902
7204,7303
7312,8703
3910,8803
401,2105
7207,8479
8420,3912
8480,7219
3901,5403
2808,2927
7222,8607
8503,8472
6004,6301
7209,8425
5902,5401
7225,8413
9024,9033
9206,9209
5105,5909
6114,5807
8501,8415
4911,4911
5201,6208
6005,5911
7219,7118
7226,9303
4823,3605
3901,8702
8487,8425
4409,4411
1404,3201
4704,4811
5007,5811
3103,802
7408,8517
3806,4807
3901,6402
3404,5603
8456,7307
7106,9101
2803,8460
8441,4801
7220,9018
5602,6501
3926,8608
2305,3101
5401,6114
7220,8213
7221,8304
3404,3812
2931,8542
3818,8518
9026,8410
7213,8202
5903,6506
4103,6405
2937,3004
4812,4823
8532,9022
4005,8606
8420,5909
5802,6301
5801,6502
2918,3808
5208,6213
7213,8457
2910,3208
3303,3302
8509,8508
7301,8704
7215,8215
7219,9209
5402,6110
2005,2104
4703,4823
7505,8714
7506,8710
5811,6212
7217,9003
4008,4012
7604,8444
8204,8714
7220,8608
2840,6903
8437,2302
8504,8528
5904,6304
3204,4805
8413,8901
2707,3817
8529,8521
7209,8451
7206,8427
3506,5905
2914,3814
6502,6501
7215,8608
7217,8207
7004,8418
7224,7326
5408,6203
8003,8308
3804,6808
5101,6204
5911,8447
8543,9031
5108,5109
7326,9302
7207,7205
7405,8515
7223,7314
5303,6005
7323,7321
2818,6904
3909,3919
7212,8436
4006,4005
8422,2203
1521,4811
7207,7302
3404,4808
8461,8431
5602,9113
8603,8702
7326,8906
2805,7011
5506,6004
5002,6216
3926,8472
8420,5602
7605,8706
5103,6115
8108,9021
5606,5908
2807,3602
7223,8478
7419,8708
7905,8302
5206,5806
4707,4811
4601,6305
7502,8207
8511,8705
2821,6810
2929,3209
3809,5911
2901,8708
7312,8708
5303,6206
5809,6211
5810,6507
7206,8703
3903,3918
8474,6907
8454,7609
4703,3912
8207,8435
5402,5910
7415,8606
3302,2205
6211,6307
7320,9113
5110,6209
2530,7005
5510,5705
2902,3808
4002,6202
8487,8481
8420,6201
4407,8707
8458,8714
7326,7220
206,2301
4006,6004
4017,8480
809,810
3103,801
5309,6507
5004,6103
2803,8506
1201,3826
8476,2202
5308,6204
5511,6101
3912,3006
1104,2309
7220,8484
8108,8705
505,5811
2507,6810
3205,2105
7508,8505
3901,5806
7409,8486
7410,7415
2927,6006
3215,3215
6305,1605
7215,8203
7419,8704
8412,8713
2207,3811
4302,4302
5516,6601
7206,8454
7320,8802
7219,8479
8482,8410
8439,4701
7222,8466
8454,7325
5802,5702
7609,8418
5505,5601
7614,8603
7106,9301
8482,8426
3920,9006
2710,8430
7107,9109
2106,1605
7221,8716
2618,7212
6305,2523
2101,901
3904,8424
5110,5609
5515,5902
7201,8403
5005,5909
2707,3210
7413,8531
2842,6905
8479,8468
4822,8439
5516,5705
8207,8429
5806,6202
4403,4804
4008,4007
7223,8514
1302,403
5406,6404
103,208
7211,7317
7409,9112
8541,8419
2525,7016
5202,5905
5308,6109
7610,8901
5503,6115
7222,8479
3926,8434
2941,511
7115,9110
2914,3006
2519,7013
2820,6914
4009,8418
2002,2004
7222,8537
6116,6102
3210,3209
1001,1107
5108,5701
3105,3103
6005,6104
8538,8530
8540,9022
3101,5201
5406,6205
3105,809
2902,2914
7213,8407
8514,6904
7315,8902
5303,5811
5205,6208
2912,3405
1209,702
8417,2821
5515,6215
7218,8457
8420,4819
8532,8431
3926,3918
4114,4205
1521,3605
3816,8417
7419,8707
8205,8206
7403,8701
5108,6204
6814,3212
8430,8905
704,704
3903,4202
8503,8903
7004,9008
7601,8482
702,711
8543,8608
2518,2517
3204,6302
8506,8470
7503,8455
2603,8501
7202,7302
2716,8538
2302,2309
7601,8207
7003,7006
8487,8716
8444,5602
8544,8508
7419,8310
7207,7307
3102,1008
5802,9113
7506,8438
5311,5808
7407,9202
714,1404
7218,8402
8439,4706
7903,3208
7409,8606
7305,8407
7011,8475
6206,6204
